Age;Male;Female
0;386146;366374
1;390472;371168
2;400825;380861
3;413869;394352
4;408438;389271
5;400278;382348
6;395764;378046
7;399302;380765
8;386631;367594
9;377980;360914
10;363320;346536
11;356952;340535
12;347186;330452
13;341440;325438
14;350253;335278
15;361202;342675
16;372626;353670
17;378614;359265
18;391296;371109
19;398390;374416
20;401724;381879
21;418751;397983
22;421795;406423
23;434123;427153
24;449845;434465
25;443031;426921
26;434463;428325
27;436613;435610
28;422230;429416
29;431154;429146
30;431142;430923
31;419801;422064
32;422391;427270
33;420376;428510
34;424885;430531
35;425173;430235
36;408990;411578
37;381016;383779
38;376244;377014
39;381371;386330
40;388460;394166
41;394125;401178
42;412822;418915
43;430659;438058
44;442307;455471
45;432443;444135
46;442865;456365
47;443011;456409
48;451194;460967
49;448506;463382
50;452342;466823
51;447992;462446
52;439498;451933
53;431523;440767
54;416879;425747
55;400096;408737
56;390905;400604
57;382153;391535
58;367686;377778
59;354283;364540
60;340197;352216
61;339813;354043
62;335882;349162
63;324717;340598
64;326586;343427
65;331472;351063
66;340150;358545
67;357333;378589
68;387134;409470
69;295944;316076
70;284526;306738
71;282780;305305
72;259988;286429
73;229825;257776
74;204426;233564
75;210233;241053
76;205651;238579
77;197474;231100
78;183284;219827
79;170572;209465
80;158391;198024
81;142220;183520
82;130579;173906
83;121792;167917
84;109877;158349
85;96385;146736
86;82502;130504
87;69603;115676
88;59993;103262
89;50083;91828
90;41023;79057
91;32771;68253
92;25620;58249
93;20091;49484
94;15149;40565
95;10134;29795
96;5699;18371
97;3422;12138
98;2305;9113
99;1573;6769
100;991;4698
101;582;3047
102;332;1855
103;179;1081
104;93;603
105;42;327
106;22;181
107;12;92
108;6;46
109;3;24
110;2;14
111;1;6
112;1;2
113;0;1
114;0;1
115;0;0
116;0;0
117;0;0
118;0;0
119;0;0
120;0;0
;;
All ages;31165316;32093097
;;
Source: ONS;;
